Date,FilingID,Company,Shares,Value
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"J.B. Hunt Transport Services, Inc.",962321,106480818
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Advanced Micro Devices, Inc. (b)",9784075,283640334
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Analog Devices, Inc.",3329485,372003359
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Applied Materials, Inc.",8325868,415460813
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"ASML Holding N.V., New York Shares (Netherlands)",654622,162621197
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Broadcom, Inc.",3588760,990748973
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,Intel Corp.,39927877,2057483502
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,KLA-Tencor Corp.,1435417,228877241
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,Lam Research Corp.,1302708,301068846
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Maxim Integrated Products, Inc.",2444971,141588271
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Microchip Technology, Inc.",2145538,199341935
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Micron Technology, Inc. (b)",9948637,426299095
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,NVIDIA Corp.,5488925,955457175
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,NXP Semiconductors N.V. (Netherlands),2962672,323286769
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"QUALCOMM, Inc.",10956807,835785238
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Skyworks Solutions, Inc.",1547603,122647538
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Texas Instruments, Inc.",8414738,1087520739
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Xilinx, Inc.",2276716,218337064
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Adobe, Inc. (b)",4375296,1208675520
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Autodesk, Inc. (b)",1979475,292368457
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,Cadence Design Systems Inc. (b),2525084,166857551
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,Check Point Software Technologies Ltd. (Israel) (b),1372175,150253163
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Citrix Systems, Inc.",1179786,113872945
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Intuit, Inc.",2344099,623389688
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,Microsoft Corp.,62010371,8621301880
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,Symantec Corp.,5570399,131628528
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Synopsys, Inc. (b)",1354502,185905400
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Workday, Inc., Class A (b)",1478166,251229093
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"O’Reilly Automotive, Inc. (b)",689632,274825248
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Ross Stores, Inc.",3287012,361078268
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Ulta Beauty, Inc. (b)",530424,132950776
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Apple, Inc.",36703225,8220421303
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"NetApp, Inc.",2144360,112600344
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,Western Digital Corp.,2667952,159116657
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"Lululemon Athletica, Inc. (b)",1107615,213249116
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,Fastenal Co.,5168389,168851269
2020-01-29,2020-01-29_0001193125-20-018563_d835635d485bpos.htm,"T-Mobile US, Inc. (b)",7701221,606625178
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Tesla, Inc. (b)",10926558,4687602648
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Monster Beverage Corp. (b),6184415,495990083
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"PepsiCo, Inc.",16236345,2250357417
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Alexion Pharmaceuticals, Inc. (b)",2569759,294057522
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Amgen, Inc.",6868026,1745577488
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Biogen, Inc. (b)",1856132,526547526
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"BioMarin Pharmaceutical, Inc. (b)",2126649,161795456
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Gilead Sciences, Inc.",14701296,928974894
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Incyte Corp. (b),2564678,230154204
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Moderna, Inc. (b)",4626852,327349779
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Regeneron Pharmaceuticals, Inc. (b)",1226083,686336742
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Seattle Genetics, Inc. (b)",2040362,399278440
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Vertex Pharmaceuticals, Inc. (b)",3054145,831093937
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Cintas Corp.,1213294,403820642
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Copart, Inc. (b)",2752842,289488865
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Cisco Systems, Inc.",49510807,1950230688
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Liberty Global PLC, Class A (United Kingdom) (b)",2137423,44907257
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Liberty Global PLC, Class C (United Kingdom) (b)",4676361,96029073
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Exelon Corp.,11427115,408633633
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Xcel Energy, Inc.",6160126,425110295
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,CDW Corp.,1672607,199926715
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Activision Blizzard, Inc.",9051063,732683550
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Electronic Arts, Inc. (b)",3386339,441612469
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"NetEase, Inc., ADR (China)",841046,382398385
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Netflix, Inc. (b)",5171382,2585846141
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Take-Two Interactive Software, Inc. (b)",1340399,221460723
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Costco Wholesale Corp.,5177750,1838101250
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Walgreens Boots Alliance, Inc.",10160976,364982258
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Kraft Heinz Co. (The),14335975,429362451
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Mondelez International, Inc., Class A",16748875,962222869
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Align Technology, Inc. (b)",924025,302488824
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"DexCom, Inc. (b)",1122715,462816805
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"IDEXX Laboratories, Inc. (b)",997327,392059217
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Intuitive Surgical, Inc. (b)",1372460,973815268
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Cerner Corp.,3580848,258859502
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Marriott International, Inc., Class A",3803229,352102941
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Starbucks Corp.,13708004,1177791703
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Alphabet, Inc., Class A (b)",3169332,4644972979
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Alphabet, Inc., Class C (b)",3066684,4506798807
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Baidu, Inc., ADR (China) (b)",3297465,417426094
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Facebook, Inc., Class A (b)",22101519,5788387826
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Amazon.com, Inc. (b)",4604448,14498163551
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Booking Holdings, Inc. (b)",480112,821317996
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"eBay, Inc.",8206717,427569956
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Expedia Group, Inc.",1591316,145907764
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"JD.com, Inc., ADR (China) (b)",10762946,835312239
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"MercadoLibre, Inc. (Argentina) (b)",583030,631118315
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Pinduoduo, Inc., ADR (China) (b)",3383540,250889491
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Trip.com Group Ltd., ADR (China) (b)",6132044,190951850
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Automatic Data Processing, Inc.",5041907,703295607
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Cognizant Technology Solutions Corp., Class A",6358550,441410541
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Fiserv, Inc. (b)",7852591,809209502
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Paychex, Inc.",4206853,335580664
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"PayPal Holdings, Inc. (b)",13758363,2710810262
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"VeriSign, Inc. (b)",1346841,275900379
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Illumina, Inc. (b)",1711660,529039873
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"PACCAR, Inc.",4058916,346144356
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Charter Communications, Inc., Class A (b)",2402433,1499935019
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Comcast Corp., Class A",53455376,2472845694
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Fox Corp., Class A",4029940,112153230
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Fox Corp., Class B",3061672,85634966
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Sirius XM Holdings, Inc.",50894553,272794804
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Dollar Tree, Inc. (b)",2782497,254153276
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Verisk Analytics, Inc.",1904189,352865264
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,CSX Corp.,8970919,696771279
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Advanced Micro Devices, Inc. (b)",13767274,1128778795
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Analog Devices, Inc.",4329222,505393376
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Applied Materials, Inc.",10709361,636671512
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"ASML Holding N.V., New York Shares (Netherlands)",895266,330594876
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Broadcom, Inc.",4687868,1707884070
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Intel Corp.,49870899,2582315150
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,KLA Corp.,1823110,353209331
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Lam Research Corp.,1707696,566528148
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Maxim Integrated Products, Inc.",3127202,211430127
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Microchip Technology, Inc.",2960008,304170422
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Micron Technology, Inc. (b)",13027728,611782107
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,NVIDIA Corp.,7234869,3915655800
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,NXP Semiconductors N.V. (Netherlands),3274535,408694713
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"QUALCOMM, Inc.",13230311,1556942999
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Skyworks Solutions, Inc.",1958875,285016313
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Texas Instruments, Inc.",10740541,1533641849
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Xilinx, Inc.",2865137,298661881
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Adobe, Inc. (b)",5624526,2758436286
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"ANSYS, Inc. (b)",1005985,329188471
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Autodesk, Inc. (b)",2569878,593667517
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Cadence Design Systems, Inc. (b)",3269047,348578482
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Check Point Software Technologies Ltd. (Israel) (b),1643715,197804663
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Citrix Systems, Inc.",1448186,199429694
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"DocuSign, Inc. (b)",2169273,466914320
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Intuit, Inc.",3070265,1001551146
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Microsoft Corp.,69565441,14631699205
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Splunk, Inc. (b)",1862684,350426741
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Synopsys, Inc. (b)",1779254,380724771
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Workday, Inc., Class A (b)",2075729,446551580
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Zoom Video Communications, Inc., Class A (b)",2135552,1003944351
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"O’Reilly Automotive, Inc. (b)",868530,400461812
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Ross Stores, Inc.",4173875,389506015
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Ulta Beauty, Inc. (b)",660600,147961188
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"Apple, Inc.",157215671,18207146858
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Western Digital Corp.,3547783,129671469
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"lululemon athletica, inc. (b)",1457395,480022191
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,Fastenal Co.,6726146,303281923
2021-01-27,2021-01-27_0001193125-21-019335_d78829d485bpos.htm,"T-Mobile US, Inc. (b)",14514709,1659902121
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Tesla, Inc. (b)",10651484,8260012812
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Keurig Dr Pepper, Inc.",18532570,633072591
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Monster Beverage Corp. (b),6914805,614242128
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"PepsiCo, Inc.",18070123,2717927201
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Amgen, Inc.",7424265,1578769952
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Biogen, Inc. (b)",1948535,551415920
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Gilead Sciences, Inc.",16392731,1145032260
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Incyte Corp. (b),2887309,198589113
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Moderna, Inc. (b)",5277422,2031068631
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Regeneron Pharmaceuticals, Inc. (b)",1374177,831624437
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Seagen, Inc. (b)",2378719,403906486
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Vertex Pharmaceuticals, Inc. (b)",3391744,615228444
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Cintas Corp.,1346239,512459338
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Copart, Inc. (b)",3093083,429072474
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Cisco Systems, Inc.",55097891,2998978207
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"American Electric Power Co., Inc.",6540460,530954543
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Exelon Corp.,12784552,618005244
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Xcel Energy, Inc.",7039706,439981625
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,CDW Corp.,1797707,327218628
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Activision Blizzard, Inc.",10168019,786902990
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Electronic Arts, Inc.",3720726,529273273
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"NetEase, Inc., ADR (China)",3933079,335884947
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Netflix, Inc. (b)",5786658,3531828844
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Costco Wholesale Corp.,5779771,2597140099
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Walgreens Boots Alliance, Inc.",11309128,532094472
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Kraft Heinz Co. (The),15994977,588935053
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Mondelez International, Inc., Class A",18275422,1063264052
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Align Technology, Inc. (b)",1033066,687433108
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"DexCom, Inc. (b)",1264941,691745635
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"IDEXX Laboratories, Inc. (b)",1112328,691756783
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Intuitive Surgical, Inc. (b)",1555596,1546495764
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Cerner Corp.,3864610,272532297
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Booking Holdings, Inc. (b)",536792,1274274425
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Marriott International, Inc., Class A (b)",4257749,630530049
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Starbucks Corp.,15416011,1700540174
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Trip.com Group Ltd., ADR (China) (b)",6904121,212301721
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Honeywell International, Inc.",9026509,1916147331
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Alphabet, Inc., Class A (b)",2586842,6915973824
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Alphabet, Inc., Class C (b)",2750818,7331782723
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Baidu, Inc., ADR (China) (b)",3303644,507935265
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Facebook, Inc., Class A (b)",20481300,6951148407
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Match Group, Inc. (b)",3619128,568166905
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Amazon.com, Inc. (b)",4351236,14293984310
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"eBay, Inc.",8499074,592130486
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"JD.com, Inc., ADR (China) (b)",10320759,745571630
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"MercadoLibre, Inc. (Argentina) (b)",649920,1091475648
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Pinduoduo, Inc., ADR (China) (b)",4994426,452844605
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Automatic Data Processing, Inc.",5531504,1105858280
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Cognizant Technology Solutions Corp., Class A",6871864,509961027
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Fiserv, Inc. (b)",8657864,939378244
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Okta, Inc. (b)",1875556,445144461
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Paychex, Inc.",4704530,529024399
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"PayPal Holdings, Inc. (b)",15362764,3997544820
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"VeriSign, Inc. (b)",1462664,299860747
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Peloton Interactive, Inc., Class A (b)",3549804,309010438
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Illumina, Inc. (b)",2046106,829921055
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"PACCAR, Inc.",4539023,358219695
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Charter Communications, Inc., Class A (b)",2403331,1748567502
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Comcast Corp., Class A",59884228,3349324872
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Fox Corp., Class A",4228191,169592741
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Fox Corp., Class B",3286619,121999297
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Sirius XM Holdings, Inc.",52956696,323035846
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Dollar Tree, Inc. (b)",2940554,281469829
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Verisk Analytics, Inc.",2109548,422479178
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,CSX Corp.,29475958,876614991
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Advanced Micro Devices, Inc. (b)",15858674,1631857555
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Analog Devices, Inc.",7026260,1176758025
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Applied Materials, Inc.",11805219,1519685842
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"ASML Holding N.V., New York Shares (Netherlands)",1064712,793327558
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Broadcom, Inc.",5363919,2601125241
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Intel Corp.,53042654,2826112605
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,KLA Corp.,1996929,667992720
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Lam Research Corp.,1855962,1056320772
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Marvell Technology, Inc.",10768005,649418382
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Microchip Technology, Inc.",3582877,549935791
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Micron Technology, Inc.",14718454,1044715865
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,NVIDIA Corp.,32685869,6771204622
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,NXP Semiconductors N.V. (China),3466477,678978850
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"QUALCOMM, Inc.",14747810,1902172534
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Skyworks Solutions, Inc.",2159143,355783583
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Texas Instruments, Inc.",12070388,2320049277
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Xilinx, Inc.",3235455,488521350
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Adobe, Inc. (b)",6228630,3585946864
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"ANSYS, Inc. (b)",1140761,388372082
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Atlassian Corp. PLC, Class A (b)",1795225,702686969
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Autodesk, Inc. (b)",2876556,820307475
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Cadence Design Systems, Inc. (b)",3618722,548019260
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Check Point Software Technologies Ltd. (Israel) (b),1736291,196270335
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Crowdstrike Holdings, Inc., Class A (b)",2604974,640250510
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"DocuSign, Inc. (b)",2547333,655759934
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Intuit, Inc.",3572667,1927489573
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,Microsoft Corp.,64566550,18202601776
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Splunk, Inc. (b)",2143144,310134368
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Synopsys, Inc. (b)",1993903,596994497
2022-01-27,2022-01-27_0001193125-22-019964_d241860d485bpos.htm,"Workday, Inc., Class A (b)",2497201,624025558
